Table 1
Project,Status,CSM,Support Engineer,Equipment,Warranty Start Date,Staff Dashboard,Live Locations,Total Loactions,Support Coverage,SLA,,,,,,,,,,,,,,,,,,
Ahold Delhaize EU,Pre - Pilot,Lily Larsen,Francis Nguyen,,,,,???,,,,,,,,,,,,,,,,,,,,
Albertsons Pharmacy,Pilot,Lily Larsen,Keith Yoder,,,Web Browser,20,2000,,,,,,,,,,,,,,,,,,,,
Anthony's Coal Fired Pizza,Pilot,Mo Powell,Al Hewitt,,,Staff App,1,60,,,,,,,,,,,,,,,,,,,,
Applebees,Deployed,Lily Larsen,Keith Yoder,,,Kiosk App,43,1820,,,,,,,,,,,,,,,,,,,,
Bad Daddy's,Pre - Pilot,Aaron Anthone,Al Hewitt,,,,,72,,,,,,,,,,,,,,,,,,,,
Belk,Deployed,Richard Holley,Al Hewitt,,,"Staff App, Web Browser",290,290,,,,,,,,,,,,,,,,,,,,
Better Buzz Coffee,Pre - Pilot,Mo Powell,Anh Truong,,,,,???,,,,,,,,,,,,,,,,,,,,
Brookshire's,Pre - Sales,???,???,,,,,175,,,,,,,,,,,,,,,,,,,,
Buddy's Pizza,Pilot,Jensen Packianathan,Anh Truong,,,,2,19,,,,,,,,,,,,,,,,,,,,
Buffalo Wings & Rings,Pre - Sales,???,Al Hewitt,,,,,60,,,,,,,,,,,,,,,,,,,,
Burgerville,Deployed,Richard Holley,Al Hewitt,,,Web Browser,38,40,,,,,,,,,,,,,,,,,,,,
Cafe Rio,Pre - Pilot,Richard Holley,Al Hewitt,,,???,,135,,,,,,,,,,,,,,,,,,,,
California Pizza Kitchen,Pilot,Richard Holley,Francis Nguyen,,,,1,250,,,,,,,,,,,,,,,,,,,,
Capriotti's,Pre - Pilot,Richard Holley,Anh Truong,,,,,112,,,,,,,,,,,,,,,,,,,,
Cava/Zoey's Kitchen,Pilot,Jensen Packianathan,Keith Yoder,,,Web Browser,18,104,,,,,,,,,,,,,,,,,,,,
Chick-fil-A,Deployed,"Lily Larsen, Mo Powell",Francis Nguyen,,,"Viewpoint Radar, KDS",29,2363,,,,,,,,,,,,,,,,,,,,
